nr;Artikelid;Varnummer;Namn;Namn2;Prisinklmoms;Pant;Volymiml;PrisPerLiter;Saljstart;Utgått;Varugrupp;Typ;Stil;Forpackning;Forslutning;Ursprung;Ursprunglandnamn;Producent;Leverantor;Argang;Provadargang;Alkoholhalt;Sortiment;SortimentText;Ekologisk;Etiskt;EtisktEtikett;Koscher;RavarorBeskrivning
8933503;9054372;89335;North Coast Brewing;Brother Thelonius;45.00;;355.00;126.76;2017-12-11;0;Öl;Ale belgisk stil;Belgisk mörk ale;Flaska;;;USA;North Coast Brewing Company;Galatea AB;;;9.40%;BS;Övrigt sortiment;0;0;;0;
7922701;9055871;79227;Ca' del Sette;Stranero;105.00;;750.00;140.00;2017-12-11;0;Rött vin;;;Flaska;;Venetien;Italien;Ca' Del Sette;Wineshare Sweden Stig Calderon;2016;;12.00%;BS;Övrigt sortiment;0;0;;0;
7599101;9055875;75991;1902;Mas Doix;2378.00;;750.00;3170.67;2017-12-11;0;Rött vin;;;Flaska;;Katalonien;Spanien;Celler Mas Doix;Theis Vine AB;2013;;15.00%;BS;Övrigt sortiment;0;0;;0;
7827801;9055876;78278;La Casilla;Bobal;169.00;;750.00;225.33;2017-12-11;0;Rött vin;;;Flaska;Naturkork;Kastilien-La Mancha;Spanien;Bodegas y Viñedos Ponce;Quaffable Wines Sweden AB;2016;;13.00%;BS;Övrigt sortiment;0;0;;0;
7695301;9055878;76953;Vouvray;Cuvée de Silex Bernard Fouquet;162.00;;750.00;216.00;2017-12-11;0;Vitt vin;;;Flaska;;Loiredalen;Frankrike;Bernard Fouquet;Handpicked Wines Sweden AB;2016;;12.50%;BS;Övrigt sortiment;0;0;;0;
8668802;905631;86688;Hjärtans Fröjd;;259.00;;500.00;518.00;2014-12-01;0;Akvavit och Kryddat brännvin;Kryddat brännvin;;Flaska;;;Internationellt märke;K A Back Edelbrandtweinbrenner;Granqvist Beverage House AB;;;35.00%;BS;Övrigt sortiment;0;0;;0;
8675202;905915;86752;Sunnanvind;;259.00;;500.00;518.00;2014-12-01;0;Akvavit och Kryddat brännvin;Kryddat brännvin;;Flaska;;;Internationellt märke;K A Back Edelbrandtweinbrenner;Granqvist Beverage House AB;;;35.00%;BS;Övrigt sortiment;0;0;;0;
8678302;905918;86783;Gyllenkröken;;259.00;;500.00;518.00;2014-12-01;0;Akvavit och Kryddat brännvin;Kryddat brännvin;;Flaska;;;Internationellt märke;K A Back Edelbrandtweinbrenner;Granqvist Beverage House AB;;;35.00%;BS;Övrigt sortiment;0;0;;0;
8702402;905922;87024;Bästergöken;;259.00;;500.00;518.00;2014-12-01;0;Akvavit och Kryddat brännvin;Kryddat brännvin;;Flaska;;;Internationellt märke;K A Back Edelbrandtweinbrenner;Granqvist Beverage House AB;;;35.00%;BS;Övrigt sortiment;0;0;;0;
657801;905928;6578;District 7;Pinot Noir;125.00;;750.00;166.67;2015-03-02;0;Rött vin;Kryddigt & Mustigt;;Flaska;Skruvkapsyl;Kalifornien;USA;Scheid Family Wines;Concealed Wines AB;2016;;13.50%;FS;Ordinarie sortiment;0;0;;0;Pinot noir.
133803;906734;1338;Jämtlands;Påskebrygd;20.90;;330.00;63.33;2019-04-01;0;Öl;Ale brittisk-amerikansk stil;Brown ale;Flaska;;;Sverige;Jämtlands Bryggeri AB;Jämtlands Bryggeri AB;;;4.50%;TSS;Säsongsdrycker;0;0;;0;
137401;906753;1374;Oppigårds;Easter Ale;28.90;;500.00;57.80;2019-04-01;0;Öl;Ale brittisk-amerikansk stil;Brown ale;Flaska;;;Sverige;Oppigårds Bryggeri AB;Oppigårds Bryggeri AB;;;5.30%;TSS;Säsongsdrycker;0;0;;0;
134101;906781;1341;Pumpviken;Påsköl;30.20;;500.00;60.40;2019-04-01;0;Öl;Ale brittisk-amerikansk stil;Mild;Flaska;;;Sverige;Nynäshamns Ångbryggeri AB;Nynäshamns Ångbryggeri AB;;;5.80%;TSS;Säsongsdrycker;0;0;;0;
215701;906810;2157;Corralillo;Sauvignon Blanc;99.00;;750.00;132.00;2015-03-02;0;Vitt vin;Friskt & Fruktigt;;Flaska;Skruvkapsyl;Aconcagua;Chile;Matetic Vineyards;Arvid Nordquist Vin och Sprithandel;2017;;13.50%;BS;Övrigt sortiment;1;0;;0;Sauvignon blanc.
139003;906857;1390;Wisby;Påsköl;20.90;;330.00;63.33;2019-04-01;0;Öl;Mörk lager;;Flaska;;;Sverige;Gotlands Bryggeri;Spendrups Bryggeri AB;;;6.00%;TSS;Säsongsdrycker;0;0;;0;
90701;906981;907;Presentkartong;1 flaska;12.00;;0.00;0.00;2015-09-01;0;Presentförpackningar;1 flaska;Presentkartong 1 flaska;;;;Okänt ursprung;;Systembolaget Presenter;2015;;0.00%;PA;;0;0;;0;
90702;906993;907;Presentkartong Regn mörkgrön;2 flaskor;12.00;;0.00;0.00;2015-09-01;0;Presentförpackningar;2 flaskor;Presentkartong 2 flaskor;;;;Okänt ursprung;;Systembolaget Presenter;2015;;0.00%;PA;;0;0;;0;
90704;907013;907;Presentpåse Regn mörkgrön;1 flaska;14.00;;0.00;0.00;2015-09-01;0;Presentförpackningar;1 flaska;Presentpåse 1 flaska;;;;Okänt ursprung;;Systembolaget Presenter;2015;;0.00%;PA;;0;0;;0;
132701;907059;1327;Three Hearts;Påskebrygd;17.20;0.90;500.00;34.40;2017-03-27;0;Öl;Mörk lager;;Flaska;;Hallands län;Sverige;Krönleins;Krönleins;;;6.00%;TSS;Säsongsdrycker;0;0;;0;
241301;907066;2413;Jacob's Creek Lighter Alcohol;Shiraz;79.00;;750.00;105.33;2015-06-01;0;Rött vin;Fruktigt & Smakrikt;;Flaska;Skruvkapsyl;South Eastern Australia;Australien;Jacob's Creek Wines;Pernod Ricard Sweden AB;2017;;9.50%;FS;Ordinarie sortiment;0;0;;0;Shiraz.
138503;907134;1385;Jämtlands Påsköl;;21.90;;330.00;66.36;2019-04-01;0;Öl;Ale oklassificerat;;Flaska;;;Sverige;Jämtlands Bryggeri AB;Jämtlands Bryggeri AB;;;6.00%;TSS;Säsongsdrycker;0;0;;0;
1265801;907157;12658;Zonnebloem;Organic Cabernet Sauvignon Shiraz;79.00;;750.00;105.33;2015-03-02;0;Rött vin;;;Flaska;Skruvkapsyl;Western Cape;Sydafrika;Zonnebloem Wines;janake wine group AB;2015;;14.50%;BS;Övrigt sortiment;1;0;;0;53% shiraz och 47% cabernet sauvignon.
210001;907186;2100;Casas Patronales;Mixtura;149.00;;750.00;198.67;2015-03-02;0;Rött vin;;;Flaska;Natur;Valle Central;Chile;Casas Patronales;Independent Wine Company AB;2012;;14.00%;BS;Övrigt sortiment;0;1;Fair for Life;0;Carmenere, malbec och carignane.
131501;907189;1315;Mariestads;Påsköl;19.90;0.90;500.00;39.80;2019-04-01;0;Öl;Mörk lager;;Flaska;;Stockholms län;Sverige;Spendrups;Spendrups Bryggeri AB;;;5.80%;TSS;Säsongsdrycker;0;0;;0;
602401;907265;6024;Alto Pina;Reserva;79.00;;750.00;105.33;2015-03-02;0;Rött vin;Fruktigt & Smakrikt;;Flaska;Skruvkapsyl;Península de Setúbal;Portugal;Vinko;Iconic Wines;2016;;14.00%;FS;Ordinarie sortiment;0;0;;0;40% castelão, 40% aragonez och 20% touriga nacional.
8652002;907603;86520;Fjäril Vingad;;259.00;;500.00;518.00;2014-12-01;0;Akvavit och Kryddat brännvin;Kryddat brännvin;;Flaska;;;Internationellt märke;K A Back Edelbrandtweinbrenner;Granqvist Beverage House AB;;;35.00%;BS;Övrigt sortiment;0;0;;0;
8646202;907606;86462;Dylletuting;;259.00;;500.00;518.00;2014-12-01;0;Akvavit och Kryddat brännvin;Kryddat brännvin;;Flaska;;;Internationellt märke;K A Back Edelbrandtweinbrenner;Granqvist Beverage House AB;;;35.00%;BS;Övrigt sortiment;0;0;;0;
747501;908129;7475;Estelado;Rosé Sparkling Wine;99.00;;750.00;132.00;2015-03-02;0;Mousserande vin;Rosé;;Flaska;Natur;;Chile;Miguel Torres;The Wine and Spirits Collective Sweden AB;;;12.00%;FS;Ordinarie sortiment;1;0;;0;País.
