"","Artikelid","Namn","Namn2","Prisinklmoms","Volymiml","PrisPerLiter","Varugrupp","Typ","Forpackning","Forslutning","Ursprung","Ursprunglandnamn","Producent","Argang","Alkoholhalt","Ekologisk","Etiskt","EtisktEtikett","Koscher","RavarorBeskrivning","APK"
"110",10135894,"Ti Amo","Zinfandel di Puglia Organic",109,750,145.33,"Rött vin","","Flaska","","Apulien","Italien","Etike International Srl",2017,"13.50%",1,0,"",0,"",0.0928920388082295
"111",10135906,"Dogliani Superiore","Fabrizio Fabiani Of Azienda Conzia",159,750,212,"Rött vin","Fruktigt & Smakrikt","Flaska","","Piemonte","Italien","Fabrizio Fabiani Of Azienda Conzia",2016,"13.50%",0,0,"",0,"Dolcetto.",0.0636792452830189
"112",10135924,"Conde Valdemar","Gran Reserva",599,1500,399.33,"Rött vin","","Magnum","","Rioja","Spanien","Bodegas Valdemar",2001,"13.50%",0,0,"",0,"",0.0338066260987153
"113",1013779,"Cortes de Cima","Tinto",199,750,265.33,"Rött vin","","Flaska","Naturkork","Alentejo","Portugal","Cortes de Cima",2014,"14.00%",0,0,"",0,"",0.0527644819658538
"114",1013846,"Cortes de Cima","Incógnito Tinto",650,750,866.67,"Rött vin","","Flaska","Naturkork","Alentejo","Portugal","Cortes de Cima",2012,"14.00%",0,0,"",0,"",0.0161537840239076
"115",1014029,"Doyard Mahé","Empreinte Brut",447,750,596,"Mousserande vin","Torrt vitt","Flaska","Champagnekork-natur","Champagne","Frankrike","Doyard-Mahé",NA,"12.00%",0,0,"",0,"",0.0201342281879195
"116",1014080,"Doyard Mahé","Cuvée Désir Blanc de Blancs Extra Brut",497,750,662.67,"Mousserande vin","Torrt vitt","Flaska","Champagnekork-natur","Champagne","Frankrike","Doyard-Mahé",NA,"12.00%",0,0,"",0,"",0.0181085608221287
"117",1014086,"Doyard Mahé","Millésime Blanc de Blancs Extra Brut",546,750,728,"Mousserande vin","Torrt vitt","Flaska","Champagnekork-natur","Champagne","Frankrike","Doyard-Mahé",2010,"12.00%",0,0,"",0,"",0.0164835164835165
"118",1014285,"Zola","Chenin Blanc Chardonnay Sauvignon Blanc",199,3000,66.33,"Vitt vin","Friskt & Fruktigt","Box","Tappkran skruv","Western Cape","Sydafrika","Du Toitskloof Cellar",2018,"13.00%",0,1,"Fairtrade",0,"50% chenin blanc, 35% chardonnay och 15% sauvignon blanc.",0.195989748228554
"119",1014357,"Duval Leroy","Brut Réserve",369,750,492,"Mousserande vin","Torrt vitt","Flaska","","Champagne","Frankrike","Duval-Leroy",NA,"12.00%",0,0,"",0,"",0.024390243902439
"120",1014509,"Birichino","Jurassic Park Vineyard Chenin Blanc",249,750,332,"Vitt vin","","Flaska","","Kalifornien","USA","Birichino Wines",2014,"13.00%",0,0,"",0,"",0.0391566265060241
"121",1014609,"Frassinelli","Conegliano Valdobbiadene Prosecco Superiore Extra Dry",157,750,209.33,"Mousserande vin","Torrt vitt","Flaska","Naturkork","Venetien","Italien","Azienda Agricola Frassinelli",NA,"11.00%",0,0,"",0,"",0.0525486074619023
"122",1014680,"Grattamacco","Rosso",624,750,832,"Rött vin","","Flaska","","Toscana","Italien","Collemassari",2014,"14.00%",0,0,"",0,"",0.0168269230769231
"123",10147,"Castelvecchio","Cabernet Franc",231,750,308,"Rött vin","","Flaska","","Friuli-Venezia-Giulia","Italien","Castelvecchio",2013,"13.00%",0,0,"",0,"",0.0422077922077922
"124",1015153,"Zlatan Plavac","Grand Cru",431,750,574.67,"Rött vin","","Flaska","","Primorska","Kroatien","Zlatan Otok",2010,"15.00%",0,0,"",0,"",0.0261019367637079
"125",1015196,"Planeta","Etna Rosso",195,750,260,"Rött vin","","Flaska","","Sicilien","Italien","Planeta",2015,"13.00%",0,0,"",0,"",0.05
"126",1015209,"Planeta","Etna Bianco",195,750,260,"Vitt vin","","Flaska","","Sicilien","Italien","Planeta",2017,"13.00%",0,0,"",0,"",0.05
