product_name,taste_body,taste_freshness,taste_tanins,taste_bitternes,taste_sweetnes,alchohol
Masi Campofiorin 2015,8,8,8,0,0,13
Masi Campofiorin 2014,7,8,4,0,0,13
Mullineux White Blend 2017,8,8,0,0,1,13.5
Piper-Heidsieck Brut,6,7,0,0,2,12
Léonce Bocquet Crémant de Bourgogne Brut,7,9,0,0,1,12
Mullineux Syrah 2014,9,8,8,0,0,14
Campo Viejo Reserva 2015,8,8,7,0,0,13.5
Domini Veneti Vigneti di Jago Amarone Della Valpolicella 2012,9,6,6,0,0,16.5
Tobacco Road Moscato 2017,5,8,0,0,7,6.5
Barbi Brunello di Montalcino 2014,9,8,9,0,0,14.5
Viña Arana Reserva 2011,8,8,6,0,0,13.5
Campagnola Valpolicella Ripasso 2015,6,6,5,0,0,13.5
Othegraven Wiltinger Scharzberg Riesling,5,8,0,0,6,10
Wolf Blass Yellow Label Cabernet Sauvignon 2015,8,8,7,0,0,13.5
Wolf Blass Eaglehawk Shiraz 2018,8,8,7,0,0,13.5
Viña Ardanza Reserva 2009,9,8,8,0,0,13.5
Brusco dei Barbi 2015,7,0,6,0,0,13.5
Krug Grande Cuvée Brut,7,9,0,0,1,12
Krug Grande Cuvée Brut,7,9,0,0,1,12
Krug Grande Cuvée Brut,7,9,0,0,1,12
Pago Casa Gran Falcata 2016,9,6,5,0,0,14
Marques de la Concordia Crianza 2015,8,8,7,0,0,14
Lindeman's Bin 45 Cabernet Sauvignon 2018,8,8,8,0,0,13.5
Dom Ruinart Brut 2006,7,7,0,0,2,12.5
Wachter Wiesler Béla-Jóska 2014,7,7,7,0,0,12.5
Villa Borghetti Valpolicella Classico 2018,6,8,7,0,0,12.5
Villa Borghetti Valpolicella Classico 2017,5,9,6,0,0,12
Marques de Murrieta Ygay Reserva 2015,9,8,8,0,0,13.5
Marques de Murrieta Ygay Reserva 2014,9,8,8,0,0,14
Cono Sur Bicicleta Syrah 2017,8,8,8,0,0,13.5
Piccini Collezione Oro Montepulciano d´Abruzzo Riserva 2014,6,7,6,0,0,13
Piccini Villa al Cortile Brunello di Montalcino 2013,9,7,8,0,0,14
Freyburger Pinot Gris Réserve 2017,6,7,0,0,3,12
Lagunilla Reserva 2013,8,8,8,0,0,13.5
Beringer Knights Valley Cabernet Sauvignon 2014,9,6,7,0,0,15
Icono Seleccion Especial,8,7,7,0,0,13.5
Borgogno Barolo Chinato,7,8,0,0,9,16
Ch. Batailley 2012,9,6,9,0,0,13
Prüm Graacher Himmelreich Riesling Spätlese 2016,6,9,0,0,5,7.5
Les Champs d'Or Chardonnay 2018,6,8,0,0,1,12.5
Gato Negro Chardonnay 2018,7,8,0,0,2,12
Cantarini Barbera d'Alba 2017,8,8,8,0,0,13.5
Grans-Fassian Riesling 2016,5,10,0,0,3,11.5
Grans-Fassian Trittenheimer Apotheke Riesling Spätlese 2012,5,10,0,0,7,8
Dom. Houchart Côtes de Provence Rosé 2018,6,7,0,0,1,13
Scotts Creek Growling Frog Shiraz 2015,6,4,6,0,0,14
Scotts Creek Growling Frog Shiraz 2015,7,5,6,0,0,14
Scotts Creek Growling Frog Chardonnay 2017,5,6,0,0,1,13.5
Scotts Creek Growling Frog Chardonnay 2017,5,6,0,0,1,13.5
Schatz T Petit Verdot 2007,7,8,6,0,0,13.5
Schatz S Chardonnay 2013,7,8,0,0,1,13.5
Schatz A Finca Sanguijuela 2007,8,6,7,0,0,13.5
Schatz C Pinot Noir 2008,9,7,7,0,0,14.5
Schatz H Acinipo 2010,8,7,6,0,0,13
Georg Breuer Charm Riesling 2017,8,6,0,0,3,11
Ancilla Lugana La Ghidina 2015,9,8,0,0,2,14
